"filename", "language", "YAML", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "XML", "JavaScript", "PostCSS", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Verification.ts", "TypeScript", 0, 486, 0, 0, 0, 0, 0, 0, 0, 0, 607, 85, 1178
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/analytics/__tests__/analytics.test.ts", "TypeScript", 0, 599, 0, 0, 0, 0, 0, 0, 0, 0, 82, 92, 773
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/analytics/__tests__/run-analytics-audit.ts", "TypeScript", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 129
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/analytics/blast-radius.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 75
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/analytics/change-intelligence.ts", "TypeScript", 0, 490, 0, 0, 0, 0, 0, 0, 0, 0, 14, 47, 551
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/analytics/dependency-intelligence.ts", "TypeScript", 0, 294, 0, 0, 0, 0, 0, 0, 0, 0, 12, 39, 345
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/analytics/graph-layout.ts", "TypeScript", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 10, 22, 180
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/analytics/occurrence-comparison.ts", "TypeScript", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 106
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/analytics/reliability-lab.ts", "TypeScript", 0, 578, 0, 0, 0, 0, 0, 0, 0, 0, 12, 47, 637
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/analytics/service-landscape.ts", "TypeScript", 0, 665, 0, 0, 0, 0, 0, 0, 0, 0, 19, 69, 753
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/analytics/system-explorer.ts", "TypeScript", 0, 836, 0, 0, 0, 0, 0, 0, 0, 0, 24, 93, 953
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/analytics/time.ts", "TypeScript", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 189
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/analytics/types.ts", "TypeScript", 0, 553, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35, 591
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/api-key.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/auth-client.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/auth.ts", "TypeScript", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 129
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/cors.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 92
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/date-format.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 16, 12, 140
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/email.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/entitlements.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 34, 24, 139
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/explore/__tests__/explore-suite.test.ts", "TypeScript", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 34, 31, 235
