"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/alerts/page.tsx", "TypeScript JSX", 0, 44, 0, 0, 7, 51
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/firing/page.tsx", "TypeScript JSX", 0, -55, 0, 0, -3, -58
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/healthy/page.tsx", "TypeScript JSX", 0, -46, 0, 0, -3, -49
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/mine/page.tsx", "TypeScript JSX", 0, 50, 0, 0, 7, 57
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/new/page.tsx", "TypeScript JSX", 0, 26, 0, 0, 5, 31
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/page.tsx", "TypeScript JSX", 0, -23, 0, 0, -4, -27
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/slos/page.tsx", "TypeScript JSX", 0, -10, 0, 0, -1, -11
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/type/[type]/page.tsx", "TypeScript JSX", 0, 64, 0, 0, 9, 73
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/api-keys/page.tsx", "TypeScript JSX", 0, 13, 0, 0, 5, 18
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/events/[eventId]/page.tsx", "TypeScript JSX", 0, -314, 0, -12, -79, -405
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/events/loading.tsx", "TypeScript JSX", 0, 54, 0, 4, 5, 63
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/events/page.tsx", "TypeScript JSX", 0, -188, 0, -5, -38, -231
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/investigations/new/page.tsx", "TypeScript JSX", 0, -148, 0, -4, -17, -169
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/issues/[issueId]/page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 2
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/issues/loading.tsx", "TypeScript JSX", 0, 47, 0, 4, 5, 56
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/issues/page.tsx", "TypeScript JSX", 0, -59, 0, -1, -30, -90
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/page.tsx", "TypeScript JSX", 0, -5, 0, -1, -9, -15
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/settings/keys/client-keys-manager.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 1
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/globals.css", "PostCSS", 0, 0, 366, 9, 44, 419
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/alerts/alert-detail-actions.tsx", "TypeScript JSX", 0, 111, 0, 2, 11, 124
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/alerts/alerts-client.tsx", "TypeScript JSX", 0, 389, 0, 5, 25, 419
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/events/event-detail-drawer.tsx", "TypeScript JSX", 0, 396, 0, 9, 31, 436
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/events/event-detail-view.tsx", "TypeScript JSX", 0, 444, 0, 15, 34, 493
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/events/event-stream-view.tsx", "TypeScript JSX", 0, 624, 0, 37, 65, 726
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/events/event-type-badge.tsx", "TypeScript JSX", 0, 12, 0, 0, 3, 15
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/investigation/evidence-graph-view.tsx", "TypeScript JSX", 0, 452, 0, 10, 29, 491
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/investigation/recommendation-plan-view.tsx", "TypeScript JSX", 0, 271, 0, 8, 23, 302
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/investigation/regression-detection-view.tsx", "TypeScript JSX", 0, 288, 0, 9, 23, 320
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/investigation/sticky-nav.tsx", "TypeScript JSX", 0, 159, 0, 6, 20, 185
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/issues/issue-detail-view.tsx", "TypeScript JSX", 0, 33, 0, -3, -4, 26
