"filename", "language", "YAML", "XML", "JSON", "JSON with Comments", "JavaScript", "TypeScript JSX", "TypeScript", "Markdown", "PostCSS", "MS SQL", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/projects/empty-state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/projects/project-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 41, 153
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/projects/project-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 11, 59
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/projects/project-navigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 13, 71
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/projects/project-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 25, 71
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/projects/project-quick-start.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 26, 110
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/projects/project-stat-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 5, 47
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/projects/projects-grid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 26, 108
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 8, 50
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 18, 77
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 7, 70
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 14, 161
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/ui/page-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/ui/relative-time.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 14, 202
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/ui/severity-badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 8, 61
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/browser.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 53, 3, 70
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/client.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 65, 6, 94
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/commonInputTypes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 470, 0, 0, 0, 9, 51, 530
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/enums.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 9, 10, 38
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/internal/class.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 178, 39, 295
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/internal/prismaNamespace.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1262, 0, 0, 0, 285, 202, 1749
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/internal/prismaNamespaceBrowser.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 33, 61, 274
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 9, 1, 21
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Account.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 880, 0, 0, 0, 643, 103, 1626
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/ApiKey.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 872, 0, 0, 0, 643, 119, 1634
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Environment.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 794, 0, 0, 0, 682, 131, 1607
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Event.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1456, 0, 0, 0, 655, 136, 2247
