"filename", "language", "YAML", "TypeScript", "TypeScript JSX", "PostCSS", "JSON with Comments", "JSON", "MS SQL", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/rule-result.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/timeline.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/test/engine.test.ts", "TypeScript", 0, 88, 0, 0, 0, 0, 0, 0, 43, 131
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/test/investigation.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 28, 81
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 17, 0, 0, 0, 7, 24
"/Users/nssanjeev/Development/Halo/packages/sdk/src/capture.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 2, 4, 56
"/Users/nssanjeev/Development/Halo/packages/sdk/src/halo.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 0, 0, 39, 151
"/Users/nssanjeev/Development/Halo/packages/sdk/src/index.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/nssanjeev/Development/Halo/packages/sdk/src/queue.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 4, 13, 62
"/Users/nssanjeev/Development/Halo/packages/sdk/src/types.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 16, 51
"/Users/nssanjeev/Development/Halo/pnpm-lock.yaml", "YAML", 757, 0, 0, 0, 0, 0, 0, 0, 168, 925
"/Users/nssanjeev/Development/Halo/pnpm-workspace.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/nssanjeev/Development/Halo/prisma/migrations/20260807105620_add_event_context/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 5, 2, 2, 9
"/Users/nssanjeev/Development/Halo/prisma/migrations/20260808081855_add_event_user/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"Total", "-", 758, 1331, 582, 40, 17, 19, 6, 13, 953, 3719
