"filename", "language", "JavaScript", "JSON", "YAML", "TypeScript", "JSON with Comments", "TypeScript JSX", "XML", "PostCSS", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/detection/statistical/baselines.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 11, 60
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/detection/statistical/distribution.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 9, 58
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/detection/statistical/latency.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 1, 8, 59
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/detection/statistical/rate-burst.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 3, 12, 79
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/detection/temporal/cascade.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 13, 76
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/detection/temporal/sequences.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/engine.ts", "TypeScript", 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 0, 39, 237
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/graph/builder.ts", "TypeScript", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 4, 19, 128
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/graph/propagation.ts", "TypeScript", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 2, 24, 128
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/hypotheses/deployment-regression.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/hypotheses/deployment.ts", "TypeScript", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 10, 27, 248
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/hypotheses/dynamic-anomaly.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 4, 9, 70
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/hypotheses/resource-saturation.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 7, 52
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/hypotheses/security-incident.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 6, 49
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/index.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/normalization/clock.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 8, 6, 52
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/normalization/parser.ts", "TypeScript", 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 10, 33, 241
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/normalization/scrubber.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 18, 13, 85
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/novelty/novelty-detector.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 11, 80
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/novelty/template-miner.ts", "TypeScript", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 16, 22, 112
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/anomalies.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/build-context.ts", "TypeScript", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 1, 34, 218
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/changes.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 5, 55
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/correlate.ts", "TypeScript", 0, 0, 0, 759, 0, 0, 0, 0, 0, 0, 0, 114, 873
