"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "PostCSS", "JavaScript", "YAML", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/traces/page.tsx", "TypeScript JSX", 0, -19, 0, 0, 0, 0, 0, 0, -19
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/issues/evidence-gaps/page.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 6, 37
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/issues/evolution/page.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 6, 37
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/issues/impact/page.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 6, 37
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/issues/layout.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 0, 3, 7, 68
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/issues/page.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 2, 17
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/issues/patterns/page.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 6, 37
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/issues/resolution/page.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 6, 37
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/issues/triage/page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 1, 3
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/overview/page.tsx", "TypeScript JSX", 0, 80, 0, 0, 0, 0, 10, -3, 87
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/investigations/new/page.tsx", "TypeScript JSX", 0, 473, 0, 0, 0, 0, 15, 16, 504
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/layout.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 2, 19
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/settings/github-settings-card.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/services/[serviceId]/page.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 5, 39
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/services/critical/page.tsx", "TypeScript JSX", 0, -48, 0, 0, 0, 0, 0, -5, -53
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/services/degraded/page.tsx", "TypeScript JSX", 0, -48, 0, 0, 0, 0, 0, -5, -53
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/services/dependencies/page.tsx", "TypeScript JSX", 0, -15, 0, 0, 0, 0, 0, 0, -15
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/services/health/page.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 5, 37
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/services/healthy/page.tsx", "TypeScript JSX", 0, -48, 0, 0, 0, 0, 0, -5, -53
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/services/page.tsx", "TypeScript JSX", 0, -20, 0, 0, 0, 0, 0, 0, -20
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/settings/account-details-client.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 5, 14
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/settings/project/project-settings-form.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 2, 9
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/docs/docs-client.tsx", "TypeScript JSX", 0, 1585, 0, 0, 0, 0, 42, 103, 1730
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/docs/page.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 3, 13
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/docs/search-index.ts", "TypeScript", 323, 0, 0, 0, 0, 0, 0, 2, 325
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/globals.css", "PostCSS", 0, 0, 0, 715, 0, 0, 22, 83, 820
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/layout.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 8
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 2, 11
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/pricing/page.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/reset-password/reset-password-form.tsx", "TypeScript JSX", 0, -4, 0, 0, 0, 0, 0, 0, -4
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/alerts/alert-detail-actions.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 0, 0, -1
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/auth/forgot-password-form.tsx", "TypeScript JSX", 0, -4, 0, 0, 0, 0, 0, 0, -4
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/auth/sign-in-form.tsx", "TypeScript JSX", 0, -4, 0, 0, 0, 0, 0, 0, -4
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/auth/sign-up-form.tsx", "TypeScript JSX", 0, -4, 0, 0, 0, 0, 0, 0, -4
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/blast-radius-panel.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 0, 0, -1
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/change-explanation-panel.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 3, 1, 38
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/change-impact-modal.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 9
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/change-intelligence-client.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 1, 1, 14
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/change-timeline-view.tsx", "TypeScript JSX", 0, -38, 0, 0, 0, 0, 1, -6, -43
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/dashboard-filter-bar.tsx", "TypeScript JSX", 0, -7, 0, 0, 0, 0, 0, 1, -6
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/dashboard-provenance-modal.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 1, 1, 18
